00050,19.750
00100,19.750
00150,19.750
00200,19.750
00250,19.750
00300,19.750
00350,19.750
00400,19.750
00450,19.750
00500,19.750
00550,19.750
00600,19.750
00650,19.750
00700,19.750
00750,19.750
00800,19.750
00850,19.750
00900,19.750
00950,19.750
01000,19.750
00050,19.750
00100,19.750
00150,19.750
00200,19.750
00250,19.750
00300,19.750
00350,19.750
00400,19.750
00450,19.750
00500,19.750
00550,19.750
00600,19.750
00650,19.750
00700,19.750
00750,19.750
00800,19.750
00850,19.750
00900,19.750
00950,19.750
01000,19.750
00050,-2048.219
00100,-2048.219
00150,-2048.219
00200,-2048.219
00250,-2048.219
00300,-2048.219
00350,-2048.219
00400,-2048.219
00450,-2048.219
00500,-2048.219
00550,-2048.219
00600,-2048.219
00650,-2048.219
00700,-2048.219
00750,-2048.219
00800,-2048.219
00850,-2048.219
00900,-2048.219
00950,-2048.219
01000,-2048.219
